"","TASI.SR.Open","TASI.SR.High","TASI.SR.Low","TASI.SR.Close","TASI.SR.Volume","TASI.SR.Adjusted"
"1",8869.169921875,8933.3701171875,8869.169921875,8933.3701171875,0,8933.3701171875
"2",8933.3701171875,8933.3701171875,8916.7900390625,8916.7900390625,0,8916.7900390625
"3",8916.7900390625,8916.7900390625,8873.9599609375,8873.9599609375,0,8873.9599609375
"4",8873.9599609375,8873.9599609375,8873.9599609375,8873.9599609375,0,8873.9599609375
"5",8751.1201171875,8751.1201171875,8242,8242,0,8242
"6",8242,8242,8126.47998046875,8126.47998046875,0,8126.47998046875
"7",8126.47998046875,8126.47998046875,7997.490234375,7997.490234375,0,7997.490234375
"8",7997.490234375,7997.490234375,7997.490234375,7997.490234375,0,7997.490234375
"9",7913.3701171875,7913.3701171875,7672.419921875,7672.419921875,0,7672.419921875
"10",7672.419921875,7672.419921875,7663.3798828125,7663.3798828125,0,7663.3798828125
"11",7663.3798828125,7715.83984375,7663.3798828125,7715.83984375,0,7715.83984375
"12",7715.83984375,7715.83984375,7715.83984375,7715.83984375,0,7715.83984375
"13",8045.669921875,8045.669921875,7936.56982421875,7936.56982421875,0,7936.56982421875
"14",7936.56982421875,7955.35986328125,7936.56982421875,7955.35986328125,0,7955.35986328125
"15",7955.35986328125,7955.35986328125,7848.16015625,7848.16015625,0,7848.16015625
"16",7848.16015625,7848.16015625,7848.16015625,7848.16015625,0,7848.16015625
"17",7401.18994140625,7497.31005859375,7401.18994140625,7497.31005859375,0,7497.31005859375
"18",7497.31005859375,7497.31005859375,7409.8701171875,7409.8701171875,0,7409.8701171875
"19",7409.8701171875,7511.2998046875,7409.8701171875,7511.2998046875,0,7511.2998046875
"20",7511.2998046875,7511.2998046875,7511.2998046875,7511.2998046875,0,7511.2998046875
"21",7256.47998046875,7279.10986328125,7256.47998046875,7279.10986328125,0,7279.10986328125
"22",7279.10986328125,7279.10986328125,7215.31982421875,7215.31982421875,0,7215.31982421875
"23",7215.31982421875,7287.10986328125,7215.31982421875,7287.10986328125,0,7287.10986328125
"24",7287.10986328125,7287.10986328125,7287.10986328125,7287.10986328125,0,7287.10986328125
"25",7416.85986328125,7478.10986328125,7416.85986328125,7478.10986328125,0,7478.10986328125
"26",7478.10986328125,7620.81982421875,7478.10986328125,7620.81982421875,0,7620.81982421875
"27",7620.81982421875,7620.81982421875,7588.47998046875,7588.47998046875,0,7588.47998046875
"28",7588.47998046875,7588.47998046875,7588.47998046875,7588.47998046875,0,7588.47998046875
"29",7389.25,7390.7099609375,7389.25,7390.7099609375,0,7390.7099609375
"30",7390.7099609375,7465.27978515625,7390.7099609375,7465.27978515625,0,7465.27978515625
"31",7465.27978515625,7465.27978515625,7443.77978515625,7443.77978515625,0,7443.77978515625
"32",7443.77978515625,7443.77978515625,7443.77978515625,7443.77978515625,0,7443.77978515625
"33",7517.14990234375,7591.97021484375,7517.14990234375,7591.97021484375,0,7591.97021484375
"34",7591.97021484375,7621.27001953125,7591.97021484375,7621.27001953125,0,7621.27001953125
"35",7621.27001953125,7621.27001953125,7594.33984375,7594.33984375,0,7594.33984375
"36",7594.33984375,7594.33984375,7594.33984375,7594.33984375,0,7594.33984375
"37",7735.60009765625,7770.509765625,7735.60009765625,7770.509765625,0,7770.509765625
"38",7770.509765625,7777.10009765625,7770.509765625,7777.10009765625,0,7777.10009765625
"39",7777.10009765625,7777.10009765625,7719.9501953125,7719.9501953125,0,7719.9501953125
"40",7719.9501953125,7719.9501953125,7719.9501953125,7719.9501953125,0,7719.9501953125
"41",7703.8701171875,7703.8701171875,7632.97998046875,7632.97998046875,0,7632.97998046875
"42",7632.97998046875,7632.97998046875,7428.3701171875,7428.3701171875,0,7428.3701171875
"43",7428.3701171875,7502.02001953125,7428.3701171875,7502.02001953125,0,7502.02001953125
"44",7502.02001953125,7502.02001953125,7502.02001953125,7502.02001953125,0,7502.02001953125
"45",7462.10009765625,7462.10009765625,7383.2001953125,7383.2001953125,0,7383.2001953125
"46",7383.2001953125,7383.2001953125,7368.66015625,7368.66015625,0,7368.66015625
"47",7368.66015625,7380.0400390625,7368.66015625,7380.0400390625,0,7380.0400390625
"48",7380.0400390625,7380.0400390625,7380.0400390625,7380.0400390625,0,7380.0400390625
"49",7442.2900390625,7442.2900390625,7209.02001953125,7209.02001953125,0,7209.02001953125
"50",7209.02001953125,7209.02001953125,7074.2001953125,7074.2001953125,0,7074.2001953125
"51",7074.2001953125,7079.18994140625,7074.2001953125,7079.18994140625,0,7079.18994140625
"52",7079.18994140625,7079.18994140625,7079.18994140625,7079.18994140625,0,7079.18994140625
"53",6901.72021484375,6901.72021484375,6896.35009765625,6896.35009765625,0,6896.35009765625
"54",6896.35009765625,6926.89990234375,6896.35009765625,6926.89990234375,0,6926.89990234375
"55",6926.89990234375,7002.52978515625,6926.89990234375,7002.52978515625,0,7002.52978515625
"56",7002.52978515625,7002.52978515625,7002.52978515625,7002.52978515625,0,7002.52978515625
"57",7112.990234375,7112.990234375,7088.7099609375,7088.7099609375,0,7088.7099609375
"58",7088.7099609375,7092.419921875,7088.7099609375,7092.419921875,0,7092.419921875
"59",7092.419921875,7092.419921875,6999.7001953125,6999.7001953125,0,6999.7001953125
"60",6999.7001953125,6999.7001953125,6999.7001953125,6999.7001953125,0,6999.7001953125
"61",6901.66015625,6944.490234375,6901.66015625,6944.490234375,0,6944.490234375
"62",6944.490234375,6969.5400390625,6944.490234375,6969.5400390625,0,6969.5400390625
"63",6969.5400390625,7141.5498046875,6969.5400390625,7141.5498046875,0,7141.5498046875
"64",7141.5498046875,7141.5498046875,7141.5498046875,7141.5498046875,0,7141.5498046875
"65",7307.06982421875,7307.06982421875,7298.0400390625,7298.0400390625,0,7298.0400390625
"66",7298.0400390625,7298.0400390625,7268.259765625,7268.259765625,0,7268.259765625
"67",7268.259765625,7404.080078125,7268.259765625,7404.080078125,0,7404.080078125
"68",7404.080078125,7404.080078125,7404.080078125,7404.080078125,0,7404.080078125
"69",7420.64990234375,7420.64990234375,7405.85009765625,7405.85009765625,0,7405.85009765625
"70",7405.85009765625,7405.85009765625,7377.669921875,7377.669921875,0,7377.669921875
"71",7377.669921875,7401.8798828125,7377.669921875,7401.8798828125,0,7401.8798828125
"72",7401.8798828125,7401.8798828125,7401.8798828125,7401.8798828125,0,7401.8798828125
"73",7376.919921875,7376.919921875,7336.93994140625,7336.93994140625,0,7336.93994140625
"74",7336.93994140625,7482.1298828125,7336.93994140625,7482.1298828125,0,7482.1298828125
"75",7482.1298828125,7545.52001953125,7482.1298828125,7545.52001953125,0,7545.52001953125
"76",7545.52001953125,7545.52001953125,7545.52001953125,7545.52001953125,0,7545.52001953125
"77",7533.41015625,7533.41015625,7468.2998046875,7468.2998046875,0,7468.2998046875
"78",7468.2998046875,7475.35009765625,7468.2998046875,7475.35009765625,0,7475.35009765625
"79",7475.35009765625,7475.35009765625,7472.06982421875,7472.06982421875,0,7472.06982421875
"80",7472.06982421875,7472.06982421875,7472.06982421875,7472.06982421875,0,7472.06982421875
"81",7518.080078125,7578.31005859375,7518.080078125,7578.31005859375,0,7578.31005859375
"82",7578.31005859375,7653.83984375,7578.31005859375,7653.83984375,0,7653.83984375
"83",7653.83984375,7653.83984375,7637.7900390625,7637.7900390625,0,7637.7900390625
"84",7637.7900390625,7637.7900390625,7637.7900390625,7637.7900390625,0,7637.7900390625
"85",7732.830078125,7842.10009765625,7732.830078125,7842.10009765625,0,7842.10009765625
"86",7842.10009765625,7910.56005859375,7842.10009765625,7910.56005859375,0,7910.56005859375
"87",7910.56005859375,7910.56005859375,7840.41015625,7840.41015625,0,7840.41015625
"88",7840.41015625,7840.41015625,7840.41015625,7840.41015625,0,7840.41015625
"89",7938.43994140625,7951.14013671875,7938.43994140625,7951.14013671875,0,7951.14013671875
"90",7951.14013671875,7965.52978515625,7951.14013671875,7965.52978515625,0,7965.52978515625
"91",7965.52978515625,8004.0498046875,7965.52978515625,8004.0498046875,0,8004.0498046875
"92",8004.0498046875,8004.0498046875,8004.0498046875,8004.0498046875,0,8004.0498046875
"93",8055.2099609375,8055.2099609375,8054.31005859375,8054.31005859375,0,8054.31005859375
"94",8054.31005859375,8109.58984375,8054.31005859375,8109.58984375,0,8109.58984375
"95",8109.58984375,8188.52978515625,8109.58984375,8188.52978515625,0,8188.52978515625
"96",8188.52978515625,8188.52978515625,8188.52978515625,8188.52978515625,0,8188.52978515625
"97",7938.8701171875,7974.18017578125,7938.8701171875,7974.18017578125,0,7974.18017578125
"98",7974.18017578125,7974.18017578125,7833.43017578125,7833.43017578125,0,7833.43017578125
"99",7833.43017578125,7833.43017578125,7814.490234375,7814.490234375,0,7814.490234375
"100",7814.490234375,7814.490234375,7814.490234375,7814.490234375,0,7814.490234375
"101",7887.22998046875,7922.18017578125,7887.22998046875,7922.18017578125,0,7922.18017578125
"102",7922.18017578125,7922.18017578125,7778.9599609375,7778.9599609375,0,7778.9599609375
"103",7778.9599609375,7788.10986328125,7778.9599609375,7788.10986328125,0,7788.10986328125
"104",7788.10986328125,7788.10986328125,7788.10986328125,7788.10986328125,0,7788.10986328125
"105",7756.490234375,7807.9501953125,7756.490234375,7807.9501953125,0,7807.9501953125
"106",7807.9501953125,7834.93017578125,7807.9501953125,7834.93017578125,0,7834.93017578125
"107",7834.93017578125,7851.759765625,7834.93017578125,7851.759765625,0,7851.759765625
"108",7851.759765625,7851.759765625,7851.759765625,7851.759765625,0,7851.759765625
"109",7846.7998046875,7846.7998046875,7826.18994140625,7826.18994140625,0,7826.18994140625
"110",7826.18994140625,7880.830078125,7826.18994140625,7880.830078125,0,7880.830078125
"111",7880.830078125,7904.60009765625,7880.830078125,7904.60009765625,0,7904.60009765625
"112",7904.60009765625,7904.60009765625,7904.60009765625,7904.60009765625,0,7904.60009765625
"113",7813.1201171875,7819.14990234375,7813.1201171875,7819.14990234375,0,7819.14990234375
"114",7819.14990234375,7819.14990234375,7794.31982421875,7794.31982421875,0,7794.31982421875
"115",7794.31982421875,7794.31982421875,7704.580078125,7704.580078125,0,7704.580078125
"116",7704.580078125,7704.580078125,7704.580078125,7704.580078125,0,7704.580078125
"117",7666.259765625,7687.3701171875,7666.259765625,7687.3701171875,0,7687.3701171875
